date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:57	26465/26465	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2022:03:57%20GMT	https://jmiiwedding.com/airportthiep/	C:/Users/thanh/Downloads/mauthiep/T08/jmiiwedding.com/airportthiep/index.html	(from )
05:03:57	111/111	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Feb%202026%2022:03:57%20GMT	https://jmiiwedding.com/robots.txt		(from )
05:03:58	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Feb%202026%2022:03:58%20GMT	https://static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	C:/Users/thanh/Downloads/mauthiep/T08/static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.0.delayed	(from https://jmiiwedding.com/airportthiep/)
05:03:58	176730/176730	---MCZ	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2007:31:24%20GMT	https://w.ladicdn.com:443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com_443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	(from https://jmiiwedding.com/airportthiep/)
05:03:58	587779/587779	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20Feb%202026%2004:24:14%20GMT	https://w.ladicdn.com/v5/source/ladipagev3.min.js?v=1764917400427	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com/v5/source/ladipagev3.min7ddd.js	(from https://jmiiwedding.com/airportthiep/)
05:03:59	592242/592242	---MCZ	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2023:04:35%20GMT	https://w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/thiep-thanh-dat-element_0033_1-20251010160355-v6bgi.png	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/thiep-thanh-dat-element_0033_1-20251010160355-v6bgi.png	(from https://jmiiwedding.com/airportthiep/)
05:03:59	21559/21559	---MCZ	200	added ('OK')	image/png	date:Wed,%2026%20Nov%202025%2010:09:05%20GMT	https://w.ladicdn.com/s600x400/6322a62f2dad980013bb5005/thiep-ng-anh-element_0020_5-20251010195723-zww8q.png	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com/s600x400/6322a62f2dad980013bb5005/thiep-ng-anh-element_0020_5-20251010195723-zww8q.png	(from https://jmiiwedding.com/airportthiep/)
05:03:59	18632/18632	---MCZ	200	added ('OK')	image/png	date:Wed,%2026%20Nov%202025%2010:47:31%20GMT	https://w.ladicdn.com/s650x400/6322a62f2dad980013bb5005/thiep-ng-anh-element_0021_4-20251010201454-5mg5l.png	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com/s650x400/6322a62f2dad980013bb5005/thiep-ng-anh-element_0021_4-20251010201454-5mg5l.png	(from https://jmiiwedding.com/airportthiep/)
05:03:59	559075/559075	---MCZ	200	added ('OK')	image/png	date:Wed,%2026%20Nov%202025%2010:47:31%20GMT	https://w.ladicdn.com/s650x550/6322a62f2dad980013bb5005/thiep-ng-anh-element_0023_2-20251010201500-vr6jc.png	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com/s650x550/6322a62f2dad980013bb5005/thiep-ng-anh-element_0023_2-20251010201500-vr6jc.png	(from https://jmiiwedding.com/airportthiep/)
05:04:00	81648/81648	---MCZ	200	added ('OK')	image/png	date:Wed,%2026%20Nov%202025%2010:09:02%20GMT	https://w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/thiep-ng-anh-element_0022_3-20251010190811-zr3sg.png	C:/Users/thanh/Downloads/mauthiep/T08/w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/thiep-ng-anh-element_0022_3-20251010190811-zr3sg.png	(from https://jmiiwedding.com/airportthiep/)
