date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:04:15	147506/147506	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2022:04:15%20GMT	https://jmiiwedding.com/mimimau/	C:/Users/thanh/Downloads/mauthiep/T09/jmiiwedding.com/mimimau/index.html	(from )
05:04:15	111/111	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Feb%202026%2022:04:15%20GMT	https://jmiiwedding.com/robots.txt		(from )
05:04:16	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Feb%202026%2022:04:16%20GMT	https://static.ladipage.net/6322a62f2dad980013bb5005/z6775552037624_dba7ac0fa616d27483970be6678daa2e-20251029075808--5wfx.png	C:/Users/thanh/Downloads/mauthiep/T09/static.ladipage.net/6322a62f2dad980013bb5005/z6775552037624_dba7ac0fa616d27483970be6678daa2e-20251029075808--5wfx.0.delayed	(from https://jmiiwedding.com/mimimau/)
05:04:16	152200/152200	---MCZ	200	added ('OK')	image/png	date:Sun,%2023%20Nov%202025%2012:09:47%20GMT	https://w.ladicdn.com:443/6322a62f2dad980013bb5005/z6775552037624_dba7ac0fa616d27483970be6678daa2e-20251029075808--5wfx.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com_443/6322a62f2dad980013bb5005/z6775552037624_dba7ac0fa616d27483970be6678daa2e-20251029075808--5wfx.png	(from https://jmiiwedding.com/mimimau/)
05:04:16	587779/587779	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20Feb%202026%2004:24:14%20GMT	https://w.ladicdn.com/v5/source/ladipagev3.min.js?v=1764917400427	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/v5/source/ladipagev3.min7ddd.js	(from https://jmiiwedding.com/mimimau/)
05:04:16	81161/81161	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2007%20Dec%202025%2017:43:48%20GMT	https://w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/580458296_122273629622210886_5661360824202656328_n-20251207170933-yawtr.jpg	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/580458296_122273629622210886_5661360824202656328_n-20251207170933-yawtr.jpg	(from https://jmiiwedding.com/mimimau/)
05:04:17	592242/592242	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:10%20GMT	https://w.ladicdn.com/s750x950/6322a62f2dad980013bb5005/element_0028_clear-white-plaster-texture-pattern-copy-11-20251128142954-vnbnf.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s750x950/6322a62f2dad980013bb5005/element_0028_clear-white-plaster-texture-pattern-copy-11-20251128142954-vnbnf.png	(from https://jmiiwedding.com/mimimau/)
05:04:17	235962/235962	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:11%20GMT	https://w.ladicdn.com/s650x650/6322a62f2dad980013bb5005/element_0023_5-20251128143053-_z_yn.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s650x650/6322a62f2dad980013bb5005/element_0023_5-20251128143053-_z_yn.png	(from https://jmiiwedding.com/mimimau/)
05:04:17	36963/36963	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:08%20GMT	https://w.ladicdn.com/s600x400/6322a62f2dad980013bb5005/element_0025_3-20251128143106-e6evq.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s600x400/6322a62f2dad980013bb5005/element_0025_3-20251128143106-e6evq.png	(from https://jmiiwedding.com/mimimau/)
05:04:17	459471/459471	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:09%20GMT	https://w.ladicdn.com/s500x500/6322a62f2dad980013bb5005/element_0022_6-20251128143106-rwnt3.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s500x500/6322a62f2dad980013bb5005/element_0022_6-20251128143106-rwnt3.png	(from https://jmiiwedding.com/mimimau/)
05:04:18	456255/456255	---MCZ	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2023:47:10%20GMT	https://w.ladicdn.com/s600x650/6322a62f2dad980013bb5005/_0017_9-20251020184704-zyurf.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s600x650/6322a62f2dad980013bb5005/_0017_9-20251020184704-zyurf.png	(from https://jmiiwedding.com/mimimau/)
05:04:18	236878/236878	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:10%20GMT	https://w.ladicdn.com/s650x550/6322a62f2dad980013bb5005/element_0021_7-20251128143053-tcqnu.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s650x550/6322a62f2dad980013bb5005/element_0021_7-20251128143053-tcqnu.png	(from https://jmiiwedding.com/mimimau/)
05:04:18	167579/167579	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:09%20GMT	https://w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/element_0026_2-20251128143441-d8xth.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/element_0026_2-20251128143441-d8xth.png	(from https://jmiiwedding.com/mimimau/)
05:04:18	130935/130935	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:08%20GMT	https://w.ladicdn.com/s500x450/6322a62f2dad980013bb5005/element_0024_4-20251128143106-amqfk.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s500x450/6322a62f2dad980013bb5005/element_0024_4-20251128143106-amqfk.png	(from https://jmiiwedding.com/mimimau/)
05:04:19	409736/409736	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:09%20GMT	https://w.ladicdn.com/s450x600/6322a62f2dad980013bb5005/element_0020_8-20251128143106-vaczc.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s450x600/6322a62f2dad980013bb5005/element_0020_8-20251128143106-vaczc.png	(from https://jmiiwedding.com/mimimau/)
05:04:19	28005/28005	---MCZ	200	added ('OK')	image/png	date:Fri,%2028%20Nov%202025%2015:38:09%20GMT	https://w.ladicdn.com/s550x400/6322a62f2dad980013bb5005/element_0019_9-20251128143106-pne8x.png	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/s550x400/6322a62f2dad980013bb5005/element_0019_9-20251128143106-pne8x.png	(from https://jmiiwedding.com/mimimau/)
05:04:19	4366232/4366232	---MCZ	200	added ('OK')	image/gif	date:Fri,%2028%20Nov%202025%2016:41:29%20GMT	https://w.ladicdn.com/6322a62f2dad980013bb5005/thiep-hy-do-20251128164129-i70wr.gif	C:/Users/thanh/Downloads/mauthiep/T09/w.ladicdn.com/6322a62f2dad980013bb5005/thiep-hy-do-20251128164129-i70wr.gif	(from https://jmiiwedding.com/mimimau/)
