date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:32	21386/21386	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2022:03:32%20GMT	https://camcui.vn/linhvinhwedding/	C:/Users/thanh/Downloads/mauthiep/T07/camcui.vn/linhvinhwedding/index.html	(from )
05:03:32	107/107	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Feb%202026%2022:03:32%20GMT	https://camcui.vn/robots.txt		(from )
05:03:33	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Feb%202026%2022:03:33%20GMT	https://static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	C:/Users/thanh/Downloads/mauthiep/T07/static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.0.delayed	(from https://camcui.vn/linhvinhwedding/)
05:03:33	176730/176730	---MCZ	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2007:31:24%20GMT	https://w.ladicdn.com:443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	C:/Users/thanh/Downloads/mauthiep/T07/w.ladicdn.com_443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	(from https://camcui.vn/linhvinhwedding/)
05:03:33	587779/587779	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20Feb%202026%2004:24:14%20GMT	https://w.ladicdn.com/v5/source/ladipagev3.min.js?v=1757992282755	C:/Users/thanh/Downloads/mauthiep/T07/w.ladicdn.com/v5/source/ladipagev3.min42ef.js	(from https://camcui.vn/linhvinhwedding/)
05:03:34	58238/58238	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2001%20Dec%202025%2006:09:48%20GMT	https://w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/mrl00407_resize-20250916164648-ksn91.jpg	C:/Users/thanh/Downloads/mauthiep/T07/w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/mrl00407_resize-20250916164648-ksn91.jpg	(from https://camcui.vn/linhvinhwedding/)
05:03:34	211565/211565	---MCZ	200	added ('OK')	image/png	date:Thu,%2027%20Nov%202025%2012:12:36%20GMT	https://w.ladicdn.com/s550x550/6322a62f2dad980013bb5005/thiep-linh-nguyen-element_0001s_0001_group-5-20250916165247-ernlk.png	C:/Users/thanh/Downloads/mauthiep/T07/w.ladicdn.com/s550x550/6322a62f2dad980013bb5005/thiep-linh-nguyen-element_0001s_0001_group-5-20250916165247-ernlk.png	(from https://camcui.vn/linhvinhwedding/)
05:03:34	346988/346988	---MCZ	200	added ('OK')	image/png	date:Thu,%2027%20Nov%202025%2012:12:36%20GMT	https://w.ladicdn.com/s450x450/6322a62f2dad980013bb5005/thiep-linh-nguyen-element_0001s_0000_71813c197412709dbaed1e8dd0514217-20250916165247-0c77s.png	C:/Users/thanh/Downloads/mauthiep/T07/w.ladicdn.com/s450x450/6322a62f2dad980013bb5005/thiep-linh-nguyen-element_0001s_0000_71813c197412709dbaed1e8dd0514217-20250916165247-0c77s.png	(from https://camcui.vn/linhvinhwedding/)
05:03:35	11809/11809	---MCZ	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2004:51:55%20GMT	https://w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/fff-20250420034256-byv87.png	C:/Users/thanh/Downloads/mauthiep/T07/w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/fff-20250420034256-byv87.png	(from https://camcui.vn/linhvinhwedding/)
