date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:00:06	26552/26552	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2022:00:05%20GMT	https://camcui.vn/thhwedding/	C:/Users/thanh/Downloads/T03/camcui.vn/thhwedding/index.html	(from )
05:00:06	107/107	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Feb%202026%2022:00:05%20GMT	https://camcui.vn/robots.txt		(from )
05:00:06	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Feb%202026%2022:00:06%20GMT	https://static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	C:/Users/thanh/Downloads/T03/static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.0.delayed	(from https://camcui.vn/thhwedding/)
05:00:07	176730/176730	---MCZ	200	added ('OK')	image/png	date:Tue,%2025%20Nov%202025%2007:31:24%20GMT	https://w.ladicdn.com:443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	C:/Users/thanh/Downloads/T03/w.ladicdn.com_443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	(from https://camcui.vn/thhwedding/)
05:00:07	587779/587779	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20Feb%202026%2004:24:14%20GMT	https://w.ladicdn.com/v5/source/ladipagev3.min.js?v=1764917400427	C:/Users/thanh/Downloads/T03/w.ladicdn.com/v5/source/ladipagev3.min7ddd.js	(from https://camcui.vn/thhwedding/)
05:00:07	1668132/1668132	---MCZ	200	added ('OK')	image/png	date:Thu,%2020%20Nov%202025%2013:51:25%20GMT	https://w.ladicdn.com/s750x1300/6322a62f2dad980013bb5005/thiep-dinh-tu_0001_aa5caeb6aedefa32fa8fc2028a6a3625-20250813034346-0tlqo.png	C:/Users/thanh/Downloads/T03/w.ladicdn.com/s750x1300/6322a62f2dad980013bb5005/thiep-dinh-tu_0001_aa5caeb6aedefa32fa8fc2028a6a3625-20250813034346-0tlqo.png	(from https://camcui.vn/thhwedding/)
05:00:07	305679/305679	---MCZ	200	added ('OK')	image/png	date:Thu,%2020%20Nov%202025%2013:51:24%20GMT	https://w.ladicdn.com/s500x650/6322a62f2dad980013bb5005/untitled-3-20250813035016--ph93.png	C:/Users/thanh/Downloads/T03/w.ladicdn.com/s500x650/6322a62f2dad980013bb5005/untitled-3-20250813035016--ph93.png	(from https://camcui.vn/thhwedding/)
05:00:07	161053/161053	---MCZ	200	added ('OK')	image/png	date:Thu,%2020%20Nov%202025%2013:51:24%20GMT	https://w.ladicdn.com/s500x650/6322a62f2dad980013bb5005/dsfds-20250813030606-jctz5.png	C:/Users/thanh/Downloads/T03/w.ladicdn.com/s500x650/6322a62f2dad980013bb5005/dsfds-20250813030606-jctz5.png	(from https://camcui.vn/thhwedding/)
05:00:08	271333/271333	---MCZ	200	added ('OK')	image/png	date:Sat,%2022%20Nov%202025%2023:44:00%20GMT	https://w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/thiep-dinh-tu_0000_863ab576aa1df4fa753b24e990294258-20250813033523-z0k5_.png	C:/Users/thanh/Downloads/T03/w.ladicdn.com/s400x400/6322a62f2dad980013bb5005/thiep-dinh-tu_0000_863ab576aa1df4fa753b24e990294258-20250813033523-z0k5_.png	(from https://camcui.vn/thhwedding/)
